query_name,id,display_name,works_api_url,h_index,works_count,country_code,matched,error
Aakriti Kumar,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Aakriti+Kumar&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Aaron Clauset,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Aaron+Clauset&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Aaron D Nichols,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Aaron+D+Nichols&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Aaron Reeves,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Aaron+Reeves&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Aaron Schein,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Aaron+Schein&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Abdulaziz Alhumaidy,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Abdulaziz+Alhumaidy&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Abdullah Almaatouq,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Abdullah+Almaatouq&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Abhisek Dash,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Abhisek+Dash&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Abraham Israeli,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Abraham+Israeli&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Achim Edelmann,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Achim+Edelmann&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Achyutarama R Ganti,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Achyutarama+R+Ganti&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Adam (Zhengzi) Zhou,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Adam+%28Zhengzi%29+Zhou&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Adam Stefkovics,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Adam+Stefkovics&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Adel Daoud,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Adel+Daoud&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Adeline Clarke,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Adeline+Clarke&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Adiba Mahbub Proma,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Adiba+Mahbub+Proma&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Adolfo Fuentes-Jofre,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Adolfo+Fuentes-Jofre&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Adrien Letellier,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Adrien+Letellier&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Adriënne Mendrik,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Adri%C3%ABnne+Mendrik&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Agnieszka Czaplicka,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Agnieszka+Czaplicka&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Agnieszka Falenska,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Agnieszka+Falenska&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Agostino Merico,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Agostino+Merico&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
Agustin Orozco,,,,,,,False,400 Client Error: Bad Request for url: https://api.openalex.org/authors?search=Agustin+Orozco&per-page=5&select=id%2Cdisplay_name%2Cdisplay_name_alternatives%2Cworks_api_url%2Ch_index%2Cworks_count%2Clast_known_institution&api_key=NkafC7tV5c7anrujEZT7xI
