query_name,id,display_name,works_api_url,h_index,works_count,country_code,matched,cited_by_count
Aakriti Kumar,https://openalex.org/A5040234818,Aakriti Kumar,https://api.openalex.org/works?filter=author.id:A5040234818,9.0,20.0,US,True,
Aaron Clauset,https://openalex.org/A5014647140,Aaron Clauset,https://api.openalex.org/works?filter=author.id:A5014647140,47.0,267.0,US,True,
Aaron D Nichols,https://openalex.org/A5089395967,Aaron Nichols,https://api.openalex.org/works?filter=author.id:A5089395967,3.0,10.0,US,True,
Aaron Reeves,https://openalex.org/A5039995516,Aaron Reeves,https://api.openalex.org/works?filter=author.id:A5039995516,48.0,254.0,GB,True,
Aaron Schein,https://openalex.org/A5021334672,Joshua Maynez,https://api.openalex.org/works?filter=author.id:A5021334672,12.0,50.0,,True,
Abdullah Almaatouq,https://openalex.org/A5064296964,Abdullah Almaatouq,https://api.openalex.org/works?filter=author.id:A5064296964,17.0,101.0,,True,
Abhisek Dash,https://openalex.org/A5046983868,Abhisek Dash,https://api.openalex.org/works?filter=author.id:A5046983868,5.0,39.0,,True,
Abraham Israeli,https://openalex.org/A5068763840,A Israeli,https://api.openalex.org/works?filter=author.id:A5068763840,20.0,109.0,,True,
Achim Edelmann,https://openalex.org/A5083303782,S. Kellogg,https://api.openalex.org/works?filter=author.id:A5083303782,11.0,87.0,FR,True,
Adam Stefkovics,https://openalex.org/A5074354806,Ádám Stefkovics,https://api.openalex.org/works?filter=author.id:A5074354806,7.0,46.0,US,True,
Adel Daoud,https://openalex.org/A5090745602,Adel Daoud,https://api.openalex.org/works?filter=author.id:A5090745602,21.0,143.0,SE,True,
Adeline Clarke,https://openalex.org/A5099120990,Adeline Clarke,https://api.openalex.org/works?filter=author.id:A5099120990,0.0,2.0,FI,True,
Adiba Mahbub Proma,https://openalex.org/A5011112366,Adiba Mahbub Proma,https://api.openalex.org/works?filter=author.id:A5011112366,2.0,12.0,,True,
Adrien Letellier,https://openalex.org/A5082562050,Adrien Letellier,https://api.openalex.org/works?filter=author.id:A5082562050,4.0,5.0,CA,True,
Adriënne Mendrik,https://openalex.org/A5015319043,Adriënne M. Mendrik,https://api.openalex.org/works?filter=author.id:A5015319043,14.0,43.0,NL,True,
Agnieszka Czaplicka,https://openalex.org/A5086011172,Agnieszka Czaplicka,https://api.openalex.org/works?filter=author.id:A5086011172,6.0,18.0,PL,True,
Agnieszka Falenska,https://openalex.org/A5039380414,David Vilares,https://api.openalex.org/works?filter=author.id:A5039380414,19.0,111.0,,True,
Agostino Merico,https://openalex.org/A5067493080,Agostino Merico,https://api.openalex.org/works?filter=author.id:A5067493080,34.0,93.0,DE,True,
