id,display_name,works_api_url,h_index,works_count,cited_by_count,country_code
https://openalex.org/A5000035181,Pierre‐Yves Boëlle,https://api.openalex.org/works?filter=author.id:A5000035181,69,531,20722,FR
https://openalex.org/A5000114720,Mick Watson,https://api.openalex.org/works?filter=author.id:A5000114720,54,472,12842,GB
https://openalex.org/A5000246394,Jeffrey F. Cohn,https://api.openalex.org/works?filter=author.id:A5000246394,97,445,41267,US
https://openalex.org/A5000162290,Zhihui Dai,https://api.openalex.org/works?filter=author.id:A5000162290,74,349,18494,CN
https://openalex.org/A5000083284,Thierry Poibeau,https://api.openalex.org/works?filter=author.id:A5000083284,22,338,1729,FR
https://openalex.org/A5000127146,Andrew J. Hoffman,https://api.openalex.org/works?filter=author.id:A5000127146,48,311,10622,US
https://openalex.org/A5000209112,Francesco Aletta,https://api.openalex.org/works?filter=author.id:A5000209112,40,244,5544,GB
https://openalex.org/A5000196398,Benjamin Leon Bodirsky,https://api.openalex.org/works?filter=author.id:A5000196398,58,203,20201,
https://openalex.org/A5000136720,C. Yeh,https://api.openalex.org/works?filter=author.id:A5000136720,33,193,4678,US
https://openalex.org/A5000098385,Susan Watt,https://api.openalex.org/works?filter=author.id:A5000098385,36,154,3277,AU
https://openalex.org/A5000161232,Tomohiro Fujita,https://api.openalex.org/works?filter=author.id:A5000161232,27,149,2672,JP
https://openalex.org/A5000062069,Guojun Gan,https://api.openalex.org/works?filter=author.id:A5000062069,23,139,3893,CN
https://openalex.org/A5000066138,Markus Brede,https://api.openalex.org/works?filter=author.id:A5000066138,22,130,1686,GB
https://openalex.org/A5000107760,Bruce Blumberg,https://api.openalex.org/works?filter=author.id:A5000107760,28,124,3334,
https://openalex.org/A5000073913,Gillian Smith,https://api.openalex.org/works?filter=author.id:A5000073913,24,118,2272,US
https://openalex.org/A5000107225,Jae Eun Chung,https://api.openalex.org/works?filter=author.id:A5000107225,23,117,2382,US
https://openalex.org/A5000204548,Xiaopeng Ji,https://api.openalex.org/works?filter=author.id:A5000204548,22,104,1512,CN
https://openalex.org/A5000212688,Ling Yuan,https://api.openalex.org/works?filter=author.id:A5000212688,12,102,643,CN
https://openalex.org/A5000038347,Maxwell Young,https://api.openalex.org/works?filter=author.id:A5000038347,16,100,1069,US
https://openalex.org/A5000159830,Sriganesh Madhvanath,https://api.openalex.org/works?filter=author.id:A5000159830,21,75,1603,US
https://openalex.org/A5000005989,Olga Kunina‐Habenicht,https://api.openalex.org/works?filter=author.id:A5000005989,21,69,1728,DE
https://openalex.org/A5000092386,Victoria D. Alexander,https://api.openalex.org/works?filter=author.id:A5000092386,20,69,2549,
https://openalex.org/A5000176068,Cassandra M. Chapman,https://api.openalex.org/works?filter=author.id:A5000176068,18,69,1329,AU
https://openalex.org/A5000188096,Shrimai Prabhumoye,https://api.openalex.org/works?filter=author.id:A5000188096,13,69,1692,
https://openalex.org/A5000176873,Ornella Mich,https://api.openalex.org/works?filter=author.id:A5000176873,14,66,1198,IT
https://openalex.org/A5000200187,Deyin Yao,https://api.openalex.org/works?filter=author.id:A5000200187,30,66,4198,CN
https://openalex.org/A5000030011,Júlia Komjáthy,https://api.openalex.org/works?filter=author.id:A5000030011,10,65,289,NL
https://openalex.org/A5000149877,Sipeng Chen,https://api.openalex.org/works?filter=author.id:A5000149877,18,65,1123,CN
https://openalex.org/A5000234165,Jin-Hua Xu,https://api.openalex.org/works?filter=author.id:A5000234165,30,52,3297,CN
https://openalex.org/A5000072934,Hessah A. Alsalamah,https://api.openalex.org/works?filter=author.id:A5000072934,12,47,486,SA
https://openalex.org/A5000146150,Christopher D. Wirz,https://api.openalex.org/works?filter=author.id:A5000146150,16,47,1068,US
https://openalex.org/A5000240820,Timothy Schmutte,https://api.openalex.org/works?filter=author.id:A5000240820,16,44,1433,US
https://openalex.org/A5000149246,Kuniaki Yanagisawa,https://api.openalex.org/works?filter=author.id:A5000149246,10,41,343,JP
https://openalex.org/A5000182407,María Idalí Torres,https://api.openalex.org/works?filter=author.id:A5000182407,14,40,654,US
https://openalex.org/A5000245456,Cezary Ziemlicki,https://api.openalex.org/works?filter=author.id:A5000245456,15,38,959,FR
https://openalex.org/A5000110965,Jiarong Xie,https://api.openalex.org/works?filter=author.id:A5000110965,11,34,429,CN
https://openalex.org/A5000039263,Jyoti Singh Kirar,https://api.openalex.org/works?filter=author.id:A5000039263,9,32,226,IN
https://openalex.org/A5000229744,Eric Fernandes de Mello Araújo,https://api.openalex.org/works?filter=author.id:A5000229744,6,30,138,US
https://openalex.org/A5000100329,Disa Mhembere,https://api.openalex.org/works?filter=author.id:A5000100329,8,28,358,US
https://openalex.org/A5000132222,Ariane Droin,https://api.openalex.org/works?filter=author.id:A5000132222,8,27,267,
https://openalex.org/A5000031081,Thomas A. Langlois,https://api.openalex.org/works?filter=author.id:A5000031081,4,23,110,US
https://openalex.org/A5000027643,Kevin Padrez,https://api.openalex.org/works?filter=author.id:A5000027643,13,20,1479,US
https://openalex.org/A5000096589,Sorathan Chaturapruek,https://api.openalex.org/works?filter=author.id:A5000096589,9,16,378,
https://openalex.org/A5000213324,Arun Frey,https://api.openalex.org/works?filter=author.id:A5000213324,9,16,2106,
https://openalex.org/A5000010272,Lewys Brace,https://api.openalex.org/works?filter=author.id:A5000010272,6,15,430,GB
https://openalex.org/A5000127250,Kirill Tokarev,https://api.openalex.org/works?filter=author.id:A5000127250,5,10,115,US
https://openalex.org/A5000077728,Sahoko Yui,https://api.openalex.org/works?filter=author.id:A5000077728,8,9,180,US
https://openalex.org/A5000096333,Aden Goolsbee,https://api.openalex.org/works?filter=author.id:A5000096333,2,3,95,US
https://openalex.org/A5000056112,Jennifer E Abel,https://api.openalex.org/works?filter=author.id:A5000056112,2,2,33,
https://openalex.org/A5000247005,Longjun Sun,https://api.openalex.org/works?filter=author.id:A5000247005,1,1,22,CN
https://openalex.org/A5000327528,Milind Tambe,https://api.openalex.org/works?filter=author.id:A5000327528,74,846,23182,US
https://openalex.org/A5000454484,Tsuhan Chen,https://api.openalex.org/works?filter=author.id:A5000454484,61,517,20887,SG
https://openalex.org/A5000255099,Arnd Doerfler,https://api.openalex.org/works?filter=author.id:A5000255099,50,387,8769,DE
https://openalex.org/A5000424744,John A. Bargh,https://api.openalex.org/works?filter=author.id:A5000424744,101,315,67148,US
https://openalex.org/A5000465145,Marijn de Bruin,https://api.openalex.org/works?filter=author.id:A5000465145,45,266,7924,US
https://openalex.org/A5000376962,Brian J. McGill,https://api.openalex.org/works?filter=author.id:A5000376962,69,250,29438,
https://openalex.org/A5000403961,Nguyễn Xuân Vinh,https://api.openalex.org/works?filter=author.id:A5000403961,30,247,5962,US
https://openalex.org/A5000415140,John H. Freeman,https://api.openalex.org/works?filter=author.id:A5000415140,47,243,17976,US
https://openalex.org/A5000350723,Zoe Marshman,https://api.openalex.org/works?filter=author.id:A5000350723,39,236,4168,GB
https://openalex.org/A5000272110,Alfredo Ferro,https://api.openalex.org/works?filter=author.id:A5000272110,36,225,3721,IT
https://openalex.org/A5000474356,Nan Cao,https://api.openalex.org/works?filter=author.id:A5000474356,43,220,5337,CN
https://openalex.org/A5000306645,Jean‐Marc Hero,https://api.openalex.org/works?filter=author.id:A5000306645,45,219,9116,AU
https://openalex.org/A5000330574,Anna Förster,https://api.openalex.org/works?filter=author.id:A5000330574,20,179,2318,DE
https://openalex.org/A5000503111,Daniel Z. Sui,https://api.openalex.org/works?filter=author.id:A5000503111,41,166,7906,US
https://openalex.org/A5000301881,Susannah J. Tye,https://api.openalex.org/works?filter=author.id:A5000301881,36,147,3274,US
https://openalex.org/A5000419869,Suoying He,https://api.openalex.org/works?filter=author.id:A5000419869,32,138,2901,CN
https://openalex.org/A5000264005,Yuval Emek,https://api.openalex.org/works?filter=author.id:A5000264005,21,131,1608,IL
https://openalex.org/A5000465689,Carlo Giovanni Camarda,https://api.openalex.org/works?filter=author.id:A5000465689,18,118,2031,FR
https://openalex.org/A5000474293,Akrivi Vlachou,https://api.openalex.org/works?filter=author.id:A5000474293,23,115,1880,GR
